Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Diabolic Servitude",4,"Enchantment",B,"cma","53",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Inner Demon",4,"Enchantment - Aura",B,"bbd","48",uncommon,b,Owned,Non-foil,false,,,"occasional","",68824,
"Night of Souls' Betrayal",4,"Legendary Enchantment",B,"ima","99",rare,b,Owned,Non-foil,false,,,"occasional","",66077,
"Pestilence",4,"Enchantment",B,"brb","49",uncommon,b,Owned,Non-foil,false,,,"occasional","",,
"Rite of Belzenlok",4,"Enchantment - Saga",B,"dom","102",rare,b,Not Owned,Non-foil,false,,,"sacrifice, tokens, counters, stax, evasion, u4.7.2, core","",67669,
"Triskaidekaphobia",4,"Enchantment",B,"a25","110",rare,b,Owned,Non-foil,false,,,"occasional","",67134,
"Liliana's Mastery",5,"Enchantment",B,"gnt","32",rare,b,Owned,Non-foil,false,,,"occasional","",,
"Sanguine Bond",5,"Enchantment",B,"ima","107",uncommon,b,Owned,Non-foil,false,,,"occasional","",66093,
"Goblin Welder",1,"Creature - Goblin Artificer",R,"cm2","101",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Grim Lavamancer",1,"Creature - Human Wizard",R,"m12","145",rare,r,Not Owned,Non-foil,false,,,"wizards, humans, graveyard, burn, u2.0, core","",41611,
"Magus of the Scroll",1,"Creature - Human Wizard",R,"tsp","169",rare,r,Owned,Non-foil,false,,,"occasional","",25921,
"Monastery Swiftspear",1,"Creature - Human Monk",R,"ima","140",uncommon,r,Not Owned,Non-foil,false,,,"spells, burn, aggrocontrol, humans, u2.60, u2.69, u3.1, u4.9, core","",66159,
"Spikeshot Elder",1,"Creature - Goblin Shaman",R,"som","104",rare,r,Not Owned,Non-foil,false,,,"heroic, goblins, manasink, flash, wide, u2.0, u2.80, core","",38297,
"Zurgo Bellstriker",1,"Legendary Creature - Orc Warrior",R,"dtk","169",rare,r,Owned,Non-foil,false,,,"core, aggrocontrol","",56050,
"Aether Chaser",2,"Creature - Human Artificer",R,"aer","76",common,r,Owned,Non-foil,false,,,"artifacts, aggrocontrol, tokens, wide, blink, humans, core","",62715,
"Burning Prophet",2,"Creature - Human Wizard",R,"war","117",common,r,Not Owned,Non-foil,false,,,"spells, humans, wizards, burn, u4.7.1, smoothing, core","",71840,
"Cheering Fanatic",2,"Creature - Goblin",R,"bbd","58",uncommon,r,Owned,Non-foil,false,,,"core, goblins, ramp","",68844,
"Dark-Dweller Oracle",2,"Creature - Goblin Shaman",R,"m19","134",rare,r,Not Owned,Non-foil,false,,,"goblins, sacrifice, tokens, burn, u4.4, smoothing, core","",68429,
"Dismissive Pyromancer",2,"Creature - Human Wizard",R,"m19","136",rare,r,Not Owned,Non-foil,false,,,"humans, wizards, graveyard, u4.8, smoothing, core","",68433,
"Earthshaker Khenra",2,"Creature - Jackal Warrior",R,"hou","90",rare,r,Owned,Non-foil,false,,,"occasional","",64664,
"Eidolon of the Great Revel",2,"Enchantment Creature - Spirit",R,"a25","128",rare,r,Owned,Non-foil,false,,,"occasional","",67170,
"Embereth Shieldbreaker",2,"Creature - Human Knight ",R,"eld","122",uncommon,r,Not Owned,Non-foil,false,,,"humans, artifact_removal, spells, u4.8, core","",78368,
"Fireslinger",2,"Creature - Human Wizard",R,"dd2","36",common,r,Not Owned,Non-foil,false,,,"wizards, humans, pingers, u2.80, u4.2, occasional","",31536,
"Goblin Cratermaker",2,"Creature - Goblin Warrior",R,"grn","103",uncommon,r,Not Owned,Non-foil,false,,,"goblins, artifact_removal, u4.6.1, core","",69579,
"Goblin Piledriver",2,"Creature - Goblin Warrior",R,"sld","21",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Goblin Wardriver",2,"Creature - Goblin Warrior",R,"ddt","50",uncommon,r,Owned,Non-foil,false,,,"occasional","",,
"Ire Shaman",2,"Creature - Orc Shaman",R,"a25","137",uncommon,r,Owned,Non-foil,false,,,"occasional","",67188,
"Kargan Dragonlord",2,"Creature - Human Warrior",R,"roe","152",mythic,r,Owned,Non-foil,false,,,"occasional","",36438,
"Kari Zev, Skyship Raider",2,"Legendary Creature - Human Pirate",R,"aer","87",rare,r,Not Owned,Non-foil,false,,,"humans, heroic, sacrifice, tokens, burn, evasion, aggrocontrol, u2.92, core","",62745,
"Kessig Forgemaster",2,"Creature - Human Shaman Werewolf",R,"soi","169",uncommon,r,Owned,Non-foil,false,,,"occasional","",60402,
"Kiln Fiend",2,"Creature - Elemental Beast",R,"roe","153",common,r,Not Owned,Non-foil,false,,,"spells, burn, aggrocontrol, u2.60, u3.4, core","",36668,
"Mogg War Marshal",2,"Creature - Goblin Warrior",R,"ema","139",common,r,Not Owned,Non-foil,false,,,"goblins, blink, sacrifice, tokens, wide, stax, u2.0, core","",60941,
"Rimrock Knight",2,"Creature - Dwarf Knight",R,"eld","137",common,r,Owned,Non-foil,false,,,"core, heroic, spells, wide, flash","",78402,
"Robber of the Rich",2,"Creature - Human Archer Rogue",R,"eld","138",mythic,r,Owned,Non-foil,false,,,"occasional","",78406,
"Satyr Firedancer",2,"Enchantment Creature - Satyr",R,"bng","108",rare,r,Owned,Non-foil,false,,,"occasional","",51729,
"Skirk Marauder",2,"Creature - Goblin",R,"arc","48",common,r,Owned,Non-foil,false,,,"occasional","",,
"Sparksmith",2,"Creature - Goblin",R,"ons","235",common,r,Owned,Non-foil,false,,,"occasional","",18009,
"Young Pyromancer",2,"Creature - Human Shaman",R,"uma","155",uncommon,r,Owned,Non-foil,false,,,"occasional","",70383,
"Alesha, Who Smiles at Death",3,"Legendary Creature - Human Warrior",R,"c20","143",rare,m,Owned,Non-foil,false,,,"occasional","",,
"Chandra's Phoenix",3,"Creature - Phoenix",R,"e01","44",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Feldon of the Third Path",3,"Legendary Creature - Human Artificer",R,"c14","35",mythic,r,Not Owned,Non-foil,false,,,"artifacts, blink, tokens, graveyard, humans, sacrifice, manasink, stax, u2.0, u4.7, reanimator, occasional","",55107,
"Fire Imp",3,"Creature - Imp",R,"por","126",uncommon,r,Not Owned,Non-foil,false,,,"blink, aggrocontrol, u2.0, removal, core","",,
"Gadrak, the Crown-Scourge",3,"Legendary Creature - Dragon",R,"m21","146",rare,r,Owned,Non-foil,false,,,"core, artifacts, sacrifice, artifacts_payoff, fliers","",81519,
"Gempalm Incinerator",3,"Creature - Goblin",R,"lgn","94",uncommon,r,Owned,Non-foil,false,,,"occasional","",18511,
"Ghost-Lit Raider",3,"Creature - Spirit",R,"sok","99",uncommon,r,Owned,Non-foil,false,,,"occasional","",22162,
"Goblin Chieftain",3,"Creature - Goblin",R,"ddt","41",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Goblin Sharpshooter",3,"Creature - Goblin",R,"c13","111",rare,r,Not Owned,Non-foil,false,,,"pingers, goblins, sacrifice, u2.63, u2.89, occasional","",51318,
"Guttersnipe",3,"Creature - Goblin Shaman",R,"c19","145",uncommon,r,Owned,Non-foil,false,,,"occasional","",77404,
"Irencrag Pyromancer",3,"Creature - Human Wizard",R,"eld","128",rare,r,Owned,Non-foil,false,,,"occasional","",78382,
"Izzet Chemister",3,"Creature - Goblin Wizard",R,"a25","138",rare,r,Not Owned,Non-foil,false,,,"goblins, spells, burn, graveyard, wizards, u4.4, u4.8, core","",67190,
"Jaya Ballard, Task Mage",3,"Legendary Creature - Human Spellshaper",R,"tsp","166",rare,r,Owned,Non-foil,false,,,"occasional","",25541,
"Magus of the Wheel",3,"Creature - Human Wizard",R,"c20","156",rare,r,Owned,Non-foil,false,,,"core, humans, wizards, graveyard, burn","",,
"Pashalik Mons",3,"Legendary Creature - Goblin Warrior",R,"mh1","138",rare,r,Not Owned,Non-foil,false,,,"goblins, sacrifice, tokens, wide, manasink, u4.8, core","",72648,
"Pia Nalaar",3,"Legendary Creature - Human Artificer",R,"kld","124",rare,r,Owned,Non-foil,false,,,"core, fliers, tokens, wide, artifacts, artifacts_payoff, humans, manasink, blink","",61719,
"Rage Forger",3,"Creature - Elemental Shaman",R,"mor","97",uncommon,r,Owned,Non-foil,false,,,"occasional","",29168,
"Rockslide Elemental",3,"Creature - Elemental",R,"hop","63",uncommon,r,Owned,Non-foil,false,,,"occasional","",44428,
"Skirk Commando",3,"Creature - Goblin",R,"a25","150",common,r,Owned,Non-foil,false,,,"occasional","",67214,
"Squee, Goblin Nabob",3,"Legendary Creature - Goblin",R,"c19","152",rare,r,Owned,Non-foil,false,,,"occasional","",77418,
"Tuktuk the Explorer",3,"Legendary Creature - Goblin",R,"roe","169",rare,r,Not Owned,Non-foil,false,,,"artifacts, golems, goblins, sacrifice, tokens, enrage, pingers, wide, stax, u2.0, core","",36704,
"Zo-Zu the Punisher",3,"Legendary Creature - Goblin Warrior",R,"dds","41",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Anger",4,"Creature - Incarnation",R,"mb1","839",uncommon,r,Not Owned,Non-foil,false,,,"graveyard, reanimator, u2.61, u4.8, core","",,
"Ashcloud Phoenix",4,"Creature - Phoenix",R,"ktk","99",mythic,r,Owned,Non-foil,false,,,"occasional","",54376,
"Atarka Efreet",4,"Creature - Efreet Shaman",R,"dtk","128",common,r,Owned,Non-foil,false,,,"occasional","",56346,
"Avalanche Riders",4,"Creature - Human Nomad",R,"tsb","55",rare,r,Owned,Non-foil,false,,,"occasional","",26123,
"Beetleback Chief",4,"Creature - Goblin Warrior",R,"c14","171",uncommon,r,Not Owned,Non-foil,false,,,"goblins, blink, tokens, sacrifice, wide, stax, u2.63, u2.80, core","",54991,
"Blistering Firecat",4,"Creature - Elemental Cat",R,"ons","189",rare,r,Owned,Non-foil,false,,,"occasional","",18075,
"Captivating Crew",4,"Creature - Human Pirate",R,"xln","137",rare,r,Not Owned,Non-foil,false,,,"sacrifice, humans, manasink, u4.7, core","",65290,
"Flametongue Kavu",4,"Creature - Kavu",R,"dd2","42",uncommon,r,Not Owned,Non-foil,false,,,"blink, control, aggrocontrol, u2.0, u2.91, u4.6.5, removal, core","",31588,
"Fumiko the Lowblood",4,"Legendary Creature - Human Samurai",R,"bok","104",rare,r,Owned,Non-foil,false,,,"occasional","",21621,
"Goblin Heelcutter",4,"Creature - Goblin Berserker",R,"frf","102",common,r,Owned,Non-foil,false,,,"occasional","",55478,
"Goblin Trashmaster",4,"Creature - Goblin Warrior",R,"m19","144",rare,r,Not Owned,Non-foil,false,,,"goblins, tribal_payoff, artifact_removal, u4.6, occasional","",68449,
"Hazoret the Fervent",4,"Legendary Creature - God",R,"akh","136",mythic,r,Not Owned,Non-foil,false,,,"graveyard, burn, u4.8, core","",63874,
"Krenko, Mob Boss",4,"Legendary Creature - Goblin Warrior",R,"ddt","52",rare,r,Owned,Non-foil,false,,,"core, goblins, tokens, wide","",,
"Lord of Shatterskull Pass",4,"Creature - Minotaur Shaman",R,"roe","156",rare,r,Owned,Non-foil,false,,,"occasional","",36724,
"Quicksmith Rebel",4,"Creature - Human Artificer",R,"aer","93",rare,r,Owned,Non-foil,false,,,"occasional","",62747,
"Skirk Volcanist",4,"Creature - Goblin",R,"scg","104",uncommon,r,Owned,Non-foil,false,,,"occasional","",18808,
"Charging Monstrosaur",5,"Creature - Dinosaur",R,"xln","138",uncommon,r,Not Owned,Non-foil,false,,,"dinosaurs, ramp, reanimator, enrage, burn, u3.3, core","",65292,
"Fire Servant",5,"Creature - Elemental",R,"pd2","15",uncommon,r,Owned,Non-foil,false,,,"occasional","",39260,
"Kiki-Jiki, Mirror Breaker",5,"Legendary Creature - Goblin Shaman",R,"ima","136",mythic,r,Owned,Non-foil,false,,,"occasional","",66151,
"Siege-Gang Commander",5,"Creature - Goblin",R,"scg","103",rare,r,Owned,Non-foil,false,,,"occasional","",18820,
"Zealous Conscripts",5,"Creature - Human Warrior",R,"avr","166",rare,r,Not Owned,Non-foil,false,,,"humans, twin, blink, sacrifice, burn, u2.0, core","",44033,
"Chandra's Incinerator",6,"Creature - Elemental",R,"m21","136",rare,r,Owned,Non-foil,false,,,"core, burn, ramp","",81499,
"Combustible Gearhulk",6,"Artifact Creature - Construct",R,"kld","112",mythic,r,Not Owned,Non-foil,false,,,"artifacts, blink, ramp, reanimator, enrage, burn, u2.89, occasional","",61989,
"Crater Hellion",6,"Creature - Hellion Beast",R,"ema","124",rare,r,Owned,Non-foil,false,,,"occasional","",60579,
"Rorix Bladewing",6,"Legendary Creature - Dragon",R,"ons","224",rare,r,Not Owned,Non-foil,false,,,"ramp, reanimator, enrage, burn, evasion, u2.0, u2.73, core","",18081,
"Ryusei, the Falling Star",6,"Legendary Creature - Dragon Spirit",R,"ima","144",rare,r,Owned,Non-foil,false,,,"occasional","",66167,
"Akroma, Angel of Fury",8,"Legendary Creature - Angel",R,"a25","119",mythic,r,Owned,Non-foil,false,,,"occasional","",67152,
"Bedlam Reveler",8,"Creature - Devil Horror",R,"emn","118",rare,r,Owned,Non-foil,false,,,"occasional","",61224,
"Magmatic Force",8,"Creature - Elemental",R,"cmd","128",rare,r,Owned,Non-foil,false,,,"occasional","",40622,
"Yidaro, Wandering Monster",7,"Legendary Creature - Dinosaur Turtle",R,"iko","141",rare,r,Owned,Non-foil,false,,,"occasional","",80291,
"Daretti, Scrap Savant",4,"Legendary Planeswalker - Daretti",R,"cm2","4",mythic,r,Not Owned,Non-foil,false,,,"graveyard, artifacts, u4.9.1, reanimator, occasional","",,
"Brute Force",1,"Instant",R,"mm2","108",common,r,Owned,Non-foil,false,,,"occasional","",57008,
"Galvanic Blast",1,"Instant",R,"som","91",common,r,Not Owned,Non-foil,false,,,"artifacts, burn, spells, flash, artifacts_payoff, aggrocontrol, u2.72, u4.7, removal, core","",38203,
"Lightning Bolt",1,"Instant",R,"a25","141",uncommon,r,Owned,Non-foil,false,,,"occasional","",67196,
"Titan's Strength",1,"Instant",R,"ori","166",common,r,Owned,Non-foil,false,,,"occasional","",57762,
"Lash Out",2,"Instant",R,"cmd","127",common,r,Owned,Non-foil,false,,,"occasional","",40506,
"Lightning Strike",2,"Instant",R,"ths","127",common,r,Not Owned,Non-foil,false,,,"flash, spells, burn, aggrocontrol, u2.80, removal, core","",50572,
"Magma Jet",2,"Instant",R,"mm3","100",common,r,Owned,Non-foil,false,,,"core, spells, burn, removal","",63493,
"Searing Blaze",2,"Instant",R,"ddi","67",common,r,Owned,Non-foil,false,,,"occasional","",43706,
"Shrapnel Blast",2,"Instant",R,"ddu","48",uncommon,r,Owned,Non-foil,false,,,"occasional","",,
"Sudden Shock",2,"Instant",R,"mma","133",uncommon,r,Owned,Non-foil,false,,,"occasional","",49052,
"Temur Battle Rage",2,"Instant",R,"frf","116",common,r,Owned,Non-foil,false,,,"occasional","",55524,
"Brimstone Volley",3,"Instant",R,"isd","132",common,r,Not Owned,Non-foil,false,,,"flash, sacrifice, spells, burn, u2.0, u2.92, removal, core","",42580,
"Char",3,"Instant",R,"gk1","28",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Pulse of the Forge",3,"Instant",R,"dst","66",rare,r,Owned,Non-foil,false,,,"occasional","",20473,
"Risk Factor",3,"Instant",R,"grn","113",rare,r,Not Owned,Non-foil,false,,,"burn, spells, graveyard, flash, aggrocontrol, u4.6.4, reanimator, core","",69599,
"Uncaged Fury",3,"Instant",R,"m20","163",uncommon,r,Owned,Non-foil,false,,,"occasional","",73225,
"Volt Charge",3,"Instant",R,"ddl","68",common,r,Owned,Non-foil,false,,,"occasional","",49917,
"Bolt Bend",4,"Instant",R,"war","115",uncommon,r,Owned,Non-foil,false,,,"occasional","",71836,
"Hidetsugu's Second Rite",4,"Instant",R,"sok","102",rare,r,Owned,Non-foil,false,,,"occasional","",22226,
"Stoke the Flames",4,"Instant",R,"m15","164",uncommon,r,Not Owned,Non-foil,false,,,"tokens, flash, spells, burn, wide, aggrocontrol, u2.72, u3.9, removal, core","",53544,
"Violent Eruption",4,"Instant",R,"c19","154",uncommon,r,Not Owned,Non-foil,false,,,"burn, enrage, spells, graveyard, u2.79, u4.8, removal, core","",77422,
"Fireblast",6,"Instant",R,"jvc","55",common,r,Owned,Non-foil,false,,,"core, burn, spells","",,
"Banefire",1,"Sorcery",R,"m19","130",rare,r,Owned,Non-foil,false,,,"occasional","",68421,
"Faithless Looting",1,"Sorcery",R,"mb1","919",common,r,Not Owned,Non-foil,false,,,"graveyard, spells, u2.63, u4.8, smoothing, reanimator, core","",,
"Firebolt",1,"Sorcery",R,"ody","193",common,r,Not Owned,Non-foil,false,,,"graveyard, manasink, spells, burn, aggrocontrol, u2.0, removal, core","",16705,
"Ghitu Fire",1,"Sorcery",R,"inv","144",rare,r,Owned,Non-foil,false,,,"u4.9.3, ramp, burn, spells, flash, removal, core","",14855,
"Purphoros's Intervention",1,"Sorcery",R,"thb","151",rare,r,Owned,Non-foil,false,,,"occasional","",79426,
"Reckless Charge",1,"Sorcery",R,"ody","215",common,r,Owned,Non-foil,false,,,"occasional","",16707,
"Incendiary Flow",2,"Sorcery",R,"emn","133",uncommon,r,Not Owned,Non-foil,false,,,"burn, spells, u3.10, u4.8.1, removal, core","",61208,
"Whipflare",2,"Sorcery",R,"nph","102",uncommon,r,Not Owned,Non-foil,false,,,"artifacts, enrage, spells, artifacts_payoff, u2.0, u4.7, removal, core, wrath","",39694,
"Acidic Soil",3,"Sorcery",R,"usg","172",uncommon,r,Owned,Non-foil,false,,,"occasional","",12121,
"Browbeat",3,"Sorcery",R,"a25","123",uncommon,r,Owned,Non-foil,false,,,"occasional","",67160,
"Fight with Fire",3,"Sorcery",R,"dom","119",uncommon,r,Not Owned,Non-foil,false,,,"spells, burn, manasink, ramp, u4.4, removal, core","",67703,
"Hammer of Bogardan",3,"Sorcery",R,"pd2","23",rare,r,Owned,Non-foil,false,,,"occasional","",39222,
"Hordeling Outburst",3,"Sorcery",R,"ktk","111",uncommon,r,Not Owned,Non-foil,false,,,"goblins, tokens, spells, wide, stax, u2.93, u4.6, core","",54362,
"Light Up the Stage",3,"Sorcery",R,"rna","107",uncommon,r,Not Owned,Non-foil,false,,,"burn, spells, pingers, aggrocontrol, u4.6.4, smoothing, core","",71214,
"Chandra's Ignition",5,"Sorcery",R,"ori","137",rare,r,Owned,Non-foil,false,,,"occasional","",57988,
"Incendiary Command",5,"Sorcery",R,"c13","113",rare,r,Owned,Non-foil,false,,,"occasional","",50850,
"Descent of the Dragons",6,"Sorcery",R,"dtk","133",mythic,r,Owned,Non-foil,false,,,"occasional","",56394,
"Slice and Dice",6,"Sorcery",R,"ons","232",uncommon,r,Not Owned,Non-foil,false,,,"enrage, spells, ramp, wrath, u2.0, u2.76, removal, core","",18087,
"Pyromancer's Goggles",5,"Legendary Artifact",R,"ori","236",mythic,r,Owned,Non-foil,false,,,"occasional","",58140,
"Embercleave",6,"Legendary Artifact - Equipment",R,"eld","120",mythic,r,Owned,Non-foil,false,,,"occasional","",78364,
"Dragon Mantle",1,"Enchantment - Aura",R,"ths","119",common,r,Owned,Non-foil,false,,,"occasional","",50342,
"Genju of the Spires",1,"Enchantment - Aura",R,"a25","132",uncommon,r,Owned,Non-foil,false,,,"occasional","",67178,
"Cavalcade of Calamity",2,"Enchantment",R,"rna","95",uncommon,r,Owned,Non-foil,false,,,"tokens, core","",71190,
"Goblin Bombardment",2,"Enchantment",R,"c13","110",uncommon,r,Not Owned,Non-foil,false,,,"sacrifice, u2.63, core","",50830,
"Madcap Skills",2,"Enchantment - Aura",R,"mm3","99",common,r,Owned,Non-foil,false,,,"occasional","",63415,
"Shared Animosity",3,"Enchantment",R,"c20","158",rare,r,Owned,Non-foil,false,,,"occasional","",,
"Fires of Invention",4,"Enchantment",R,"eld","125",rare,r,Owned,Non-foil,false,,,"occasional","",78376,
"Manabarbs",4,"Enchantment",R,"m12","150",rare,r,Owned,Non-foil,false,,,"occasional","",41145,
"Sneak Attack",4,"Enchantment",R,"ema","148",mythic,r,Owned,Non-foil,false,,,"occasional","",60769,
"Splinter Twin",4,"Enchantment - Aura",R,"mm2","129",rare,r,Not Owned,Non-foil,false,,,"twin, blink, tokens, sacrifice, stax, u2.98, core","",57186,
"Haphazard Bombardment",6,"Enchantment",R,"dom","131",rare,r,Owned,Non-foil,false,,,"occasional","",67727,
"Birds of Paradise",1,"Creature - Bird",G,"m11","165",rare,g,Not Owned,Non-foil,false,,,"ramp, wide, evasion, aggrocontrol, u2.0, smoothing, core","",37576,
"Experiment One",1,"Creature - Human Ooze",G,"gtc","119",uncommon,g,Not Owned,Non-foil,false,,,"humans, counters, wide, aggrocontrol, u2.0, core","",47547,
"Joraga Treespeaker",1,"Creature - Elf Druid",G,"roe","190",uncommon,g,Owned,Non-foil,false,,,"occasional","",36408,
"Kessig Prowler",1,"Creature - Werewolf Horror ",G,"emn","163",uncommon,g,Not Owned,Non-foil,false,,,"flash, manasink, wide, aggrocontrol, u2.86, core","",61446,
"Llanowar Elves",1,"Creature - Elf Druid",G,"m11","184",common,g,Not Owned,Non-foil,false,,,"elves, ramp, wide, aggrocontrol, u2.0, u2.76, smoothing, core","",37568,
"Protean Hydra",1,"Creature - Hydra",G,"m11","194",rare,g,Owned,Non-foil,false,,,"occasional","",37284,
"Scute Mob",1,"Creature - Insect",G,"c18","161",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Sylvan Safekeeper",1,"Creature - Human Wizard",G,"cma","152",rare,g,Owned,Non-foil,false,,,"occasional","",,
"Taunting Elf",1,"Creature - Elf",G,"ons","290",common,g,Owned,Non-foil,false,,,"occasional","",18125,
"Twinblade Slasher",1,"Creature - Elf Warrior",G,"eve","79",uncommon,g,Not Owned,Non-foil,false,,,"counters, manasink, elves, wide, aggrocontrol, u2.0, u2.86, u4.9, core","",30102,
"Wild Nacatl",1,"Creature - Cat Warrior",G,"ddh","4",common,g,Owned,Non-foil,false,,,"occasional","",42086,
"Ainok Survivalist",2,"Creature - Hound Shaman",G,"c19","156",common,g,Owned,Non-foil,false,,,"occasional","",77426,
"Bloodline Shaman",2,"Creature - Elf Wizard Shaman",G,"ons","249",uncommon,g,Owned,Non-foil,false,,,"occasional","",18169,
"Bramblewood Paragon",2,"Creature - Elf Warrior",G,"mor","115",uncommon,g,Owned,Non-foil,false,,,"counters_payoff, elves, counters, core","",28968,
"Brindle Shoat",2,"Creature - Boar",G,"pca","60",uncommon,g,Owned,Non-foil,false,,,"occasional","",,
"Broodhatch Nantuko",2,"Creature - Insect Druid",G,"a25","162",uncommon,g,Owned,Non-foil,false,,,"occasional","",67238,
"Deeproot Champion",2,"Creature - Merfolk Shaman",G,"xln","185",rare,g,Owned,Non-foil,false,,,"occasional","",65388,
"Den Protector",2,"Creature - Human Warrior",G,"c19","161",rare,g,Owned,Non-foil,false,,,"occasional","",77436,
"Dryad Greenseeker",2,"Creature - Dryad",G,"m19","178",uncommon,g,Owned,Non-foil,false,,,"occasional","",68517,
"Duskwatch Recruiter",2,"Creature - Human Warrior Werewolf",G,"soi","203",uncommon,g,Owned,Non-foil,false,,,"occasional","",60300,
"Fauna Shaman",2,"Creature - Elf Shaman",G,"uma","164",rare,g,Owned,Non-foil,false,,,"occasional","",70401,
"Hinterland Logger",2,"Creature - Human Werewolf ",G,"soi","210",common,g,Not Owned,Non-foil,false,,,"flash, humans, aggrocontrol, u4.7.7, core","",60394,
"Hooded Hydra",2,"Creature - Snake Hydra",G,"c19","172",mythic,g,Owned,Non-foil,false,,,"occasional","",77458,
"Incubation Druid",2,"Creature - Elf Druid",G,"rna","131",rare,g,Not Owned,Non-foil,false,,,"elves, counters, manasink, ramp, flash, u4.6.4, smoothing, core","",71262,
"Longtusk Cub",2,"Creature - Cat",G,"kld","161",uncommon,g,Owned,Non-foil,false,,,"aggrocontrol, counters, core","",61729,
"Merfolk Branchwalker",2,"Creature - Merfolk Scout",G,"xln","197",uncommon,g,Not Owned,Non-foil,false,,,"graveyard, counters, blink, wide, aggrocontrol, u3.3, smoothing, core","",65414,
"Quirion Dryad",2,"Creature - Dryad",G,"m13","184",rare,g,Owned,Non-foil,false,,,"occasional","",45236,
"Rattleclaw Mystic",2,"Creature - Human Shaman",G,"ktk","144",rare,m,Owned,Non-foil,false,,,"occasional","",54176,
"Resilient Khenra",2,"Creature - Jackal Wizard",G,"hou","131",rare,g,Owned,Non-foil,false,,,"occasional","",64746,
"Sakura-Tribe Elder",2,"Creature - Snake Shaman",G,"chk","239",common,g,Not Owned,Non-foil,false,,,"ramp, u2.0, smoothing, core","",21097,
"Silhana Ledgewalker",2,"Creature - Elf Rogue",G,"pc2","77",common,g,Owned,Non-foil,false,,,"core, elves, heroic, aggrocontrol, rogues","",45160,
"Skinshifter",2,"Creature - Human Shaman",G,"m12","195",rare,g,Owned,Non-foil,false,,,"occasional","",41391,
"Strangleroot Geist",2,"Creature - Spirit",G,"dka","127",uncommon,g,Not Owned,Non-foil,false,,,"counters, sacrifice, enrage, blink, aggrocontrol, u2.0, core","",43153,
"Thornweald Archer",2,"Creature - Elf Archer",G,"ema","189",common,g,Not Owned,Non-foil,false,,,"elves, aggrocontrol, u2.86, u4.6.2, core","",60551,
"Tribal Forcemage",2,"Creature - Elf Wizard",G,"lgn","142",rare,g,Owned,Non-foil,false,,,"occasional","",18555,
"Vine Trellis",2,"Creature - Plant Wall",G,"gvl","4",common,g,Owned,Non-foil,false,,,"occasional","",,
"Vinelasher Kudzu",2,"Creature - Plant",G,"rav","189",rare,g,Not Owned,Non-foil,false,,,"counters, ramp, aggrocontrol, u2.0, occasional","",22996,
"Viridian Emissary",2,"Creature - Elf Scout",G,"mbs","95",common,g,Not Owned,Non-foil,false,,,"elves, sacrifice, ramp, enrage, stax, aggrocontrol, u4.7, smoothing, core","",39325,
"Wall of Roots",2,"Creature - Plant Wall",G,"ima","190",common,g,Owned,Non-foil,false,,,"occasional","",66259,
"Wellwisher",2,"Creature - Elf",G,"cma","166",common,g,Owned,Non-foil,false,,,"occasional","",,
"Wildborn Preserver",2,"Creature - Elf Archer",G,"eld","182",rare,g,Owned,Non-foil,false,,,"u4.9.3, elves, counters, flash, manasink, core, blink","",78508,
"Woodland Champion",2,"Creature - Elf Scout",G,"m20","205",uncommon,g,Not Owned,Non-foil,false,,,"tokens, elves, u4.7.7, core","",73309,
"Atzocan Archer",3,"Creature - Human Archer",G,"xln","176",uncommon,g,Not Owned,Non-foil,false,,,"enrage, pingers, blink, u3.8, u4.8, removal, core","",65370,
"Boon Satyr",3,"Enchantment Creature - Satyr",G,"ths","152",rare,g,Not Owned,Non-foil,false,,,"flash, heroic, aggrocontrol, u2.0, core","",50136,
"Eternal Witness",3,"Creature - Human Shaman",G,"uma","163",uncommon,g,Owned,Non-foil,false,,,"occasional","",70025,
"Evolution Sage",3,"Creature - Elf Druid",G,"war","159",uncommon,g,Not Owned,Non-foil,false,,,"counters, ramp, elves, counters_payoff, u4.7, core","",71924,
"Generous Patron",3,"Creature - Elf Advisor",G,"bbd","70",rare,g,Not Owned,Non-foil,false,,,"blink, elves, counters_payoff, counters, u4.6.3, smoothing, core","",68868,
"Ohran Viper",3,"Snow Creature - Snake",G,"csp","115",rare,g,Not Owned,Non-foil,false,,,"tappers, tappers_payoff, aggrocontrol, u2.84, core","",24755,
"Phantom Tiger",3,"Creature - Cat Spirit",G,"ima","181",common,g,Owned,Non-foil,false,,,"occasional","",66241,
"Reclamation Sage",3,"Creature - Elf Shaman",G,"m15","194",uncommon,g,Not Owned,Non-foil,false,,,"elves, blink, artifact_removal, enchantment_removal, u2.0, core","",53606,
"Steel Leaf Champion",3,"Creature - Elf Knight",G,"dom","182",rare,g,Owned,Non-foil,false,,,"occasional","",67829,
